pkey;key;guid;pubDate;title;description;category;link
3496;888;4225115;888.hu;Európa-bajnok a magyar férfi vízilabda-válogatott!;https://888.hu/hajra-magyarok/europa-bajnok-a-magyar-ferfi-vizilabda-valogatott-4225115/;Sun, 26 Jan 2020 20:14:38 +0200;21 év után Európa-bajnok Magyarország!
3497;888;4225105;888.hu;Figyelmeztető lövésekkel állítottak meg két migránst a román-magyar határon;https://888.hu/szabadlabon/figyelmezteto-lovesekkel-allitottak-meg-ket-migranst-a-roman-magyar-hataron-4225105/;Sun, 26 Jan 2020 20:00:00 +0200;Román határrendészek figyelmeztető lövésekkel állítottak meg két határsértőt szombat éjszaka a román-magyar zöld határon, a Szatmár megyei Óvári (Oar) térségében.
3498;888;4225076;888.hu;Soros dührohamot kapott a valóságtól?;https://888.hu/piszkostizenketto/soros-duhrohamot-kapott-a-valosagtol-4225076/;Sun, 26 Jan 2020 19:25:54 +0200;Van abban valami ajakbiggyesztő, hogy Soros György Davosban, a minapi Világgazdasági Fórumon fontosnak tartotta megjelenését, mi több: fel is szólalt.
3499;888;4225101;888.hu;Macron rendőrei nem használják többet a súlyos sérüléseket okozó robbanó könnygázgránátokat;https://888.hu/amerika-london-parizs/macron-rendorei-nem-hasznaljak-tobbet-a-sulyos-seruleseket-okozo-robbano-konnygazgranatokat-4225101/;Sun, 26 Jan 2020 18:40:55 +0200;Christophe Castaner francia belügyminiszter bejelentette, hogy a rendőri erők nem használják többet tömegoszlatáshoz azt a típusú könnygázgránátot, amely újra és újra súlyos sérüléseket okoz a tüntetőknél.
3500;888;4225011;888.hu;A franciaországi zsidóság 70 százaléka volt már antiszemita incidens áldozata;https://888.hu/piszkostizenketto/a-franciaorszagi-zsidosag-70-szazaleka-volt-mar-antiszemita-incidens-aldozata-4225011/;Sun, 26 Jan 2020 17:55:38 +0200;Az Amerikai Zsidó Bizottság szerint Macron kormánya gyengén reagál ezekre a durva atrocitásokra.
3501;888;4225063;888.hu;Koronavírus: már Kanadában is van egy beteg, itthon minden rendben;https://888.hu/amerika-london-parizs/koronavirus-mar-kanadaban-is-van-egy-beteg-itthon-minden-rendben-4225063/;Sun, 26 Jan 2020 17:10:21 +0200;Eközben az Egyesült Államok evakuálni készül Vuhanban lévő állampolgárait.
3502;888;4225089;888.hu;Újabb, kettős magyar siker a rövidpályás gyorskorcsolya EB-n 1000 méteren és összetettben is!;https://888.hu/hajra-magyarok/ujabb-kettos-magyar-siker-a-rovidpalyas-gyorskorcsolya-eb-n-4225089/;Sun, 26 Jan 2020 16:25:07 +0200;Ahogy szombaton 500 méteren, úgy vasárnap 1000 méteren is kettős magyar siker született a debreceni Főnix Csarnokban zajló rövidpályás gyorskorcsolya Európa-bajnokságon: az aranyérem Liu Shaolin Sándoré lett, míg az ezüstöt öccse, Liu Shaoang szerezte meg. Összetettben pedig Liu Shaoang lett aranyérmes, testvére Sándor pedig ezüstérmes lett!
3503;888;4225058;888.hu;Több rendőr megsérült Németországban, miután szélbalosok támadták meg őket;https://888.hu/amerika-london-parizs/tobb-rendor-megserult-nemetorszagban-miutan-szelbalosok-tamadtak-meg-oket-4225058/;Sun, 26 Jan 2020 16:00:35 +0200;Rendőrökre támadtak szélsőbaloldali tüntetők a németországi Lipcsében, a szombat este történt összecsapásban több rendőr megsebesült.
3504;888;4225052;888.hu;Tarolhat az olasz jobboldal a mai tartományi választásokon;https://888.hu/amerika-london-parizs/tarolhat-az-olasz-jobboldal-a-mai-tartomanyi-valasztasokon-4225052/;Sun, 26 Jan 2020 15:15:58 +0200;Reggel hét órakor nyíltak meg az urnák az északi Emilia Romagna és a déli Calabria tartományban, ahol az este 11-ig tartó választások jelentős belpolitikai fordulatot idézhetnek elő a Matteo Salvini vezette jobboldal és a kormánypárti Demokrata Párt (PD) irányította baloldal szoros versenyének eredményétől függően.
3505;888;4225048;888.hu;A svédeknél most alakult egy új muszlim párt;https://888.hu/amerika-london-parizs/a-svedeknel-most-alakult-egy-uj-muszlim-part-4225048/;Sun, 26 Jan 2020 14:30:44 +0200;A neve, Nüansz.
